tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)
CD48_TSS29749	4.61478232690991e-07	0.343455389888519	4.73728719109013e-05	209	209	209	19.966	26.9365433014354	2.9965613377903e-09	-0.399367574593445	4.25528357529211e-06	209	209	209	19.966	26.9365433014354
CD244_TSS25286	0.000116084822103573	0.265954540056286	0.00375125681136462	203	200	90	0.839825	1.19234838373206	1.79006896351366e-05	-0.29471840514687	0.00120410402043086	203	200	90	0.839825	1.19234838373206
LY9_TSS34264	1.81600887715046e-09	0.404393371715372	5.21561830436436e-07	207	202	131	1.42059	2.26430950574163	5.43636845612453e-07	-0.341444146820015	8.42175843072721e-05	207	202	131	1.42059	2.26430950574163
SLAMF7_TSS33865	1.99431592297991e-06	0.324964812394983	0.000157335522553362	208	208	193	4.72702	7.22473119617225	2.85114414099404e-08	-0.375657665373683	1.54725781857242e-05	208	208	193	4.72702	7.22473119617225
F11R_TSS20484	1.82855449789302e-08	-0.380484024645606	3.70949853338441e-06	209	209	209	29.3644	29.6993894736842	0.000169823219461114	0.259687162802597	0.00671958407530267	209	209	209	29.3644	29.6993894736842
GPA33_TSS1559	0.00419930079349859	-0.19915675761222	0.0460087130658455	209	209	209	40.1054	42.9696586602871	0.000167179774338361	0.259948713537001	0.00665620282221628	209	209	209	40.1054	42.9696586602871
CD247_TSS14049	7.39670974976379e-11	0.43468617376637	4.7266824478428e-08	207	207	185	3.23903	4.92405631100478	5.75551582733849e-08	-0.367861049963647	2.19577223974029e-05	207	207	185	3.23903	4.92405631100478
FASLG_TSS4455	6.56019390150943e-06	0.308968384641295	0.000426294279411312	196	185	81	0.691387	1.19454288516746	9.09930515344313e-06	-0.304405466143507	0.000727857503161711	196	185	81	0.691387	1.19454288516746
LOC101928673_TSS4986	0.00198488139401625	0.214775620404577	0.0284392114980098	187	166	2	0.262173	0.294561471291866	0.00247885335843046	-0.210256915191306	0.0497737397445726	187	166	2	0.262173	0.294561471291866
RGS16_TSS258	5.33938811062636e-08	0.368703929037568	8.27152118155882e-06	204	199	123	1.31034	1.81642416842105	2.44513890012244e-05	-0.290133610536632	0.00156250488565074	204	199	123	1.31034	1.81642416842105
COLGALT2_TSS28257	0.00157376249101743	0.219400298147993	0.0242769722588392	182	96	3	0.0887184	0.147937191674641	0.00192889334184582	-0.215350874246605	0.0419255465228921	182	96	3	0.0887184	0.147937191674641
B3GALT2_TSS25289	0.00019150134202821	0.257675189849348	0.00556878931010588	191	141	20	0.172294	0.426204885789474	4.92551332940537e-08	-0.36960741297859	2.09835077021551e-05	191	141	20	0.172294	0.426204885789474
NR5A2_TSS34731,TSS5566	0.000270889016028001	0.25177429165629	0.00716956628821719	136	30	0	0.0149196	0.0481336749760766	0.000942925727551825	-0.229289723666115	0.0252642814695516	136	30	0	0.0149196	0.0481336749760766
