tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Hilar Lymphadenopathy)	corr_coef (Hilar Lymphadenopathy)	fdr (Hilar Lymphadenopathy)	pval_dir (Hilar Lymphadenopathy)	fpkm>0_num (Hilar Lymphadenopathy)	fpkm>0.1_num (Hilar Lymphadenopathy)	fpkm>1_num (Hilar Lymphadenopathy)	fpkm_median (Hilar Lymphadenopathy)	fpkm_mean (Hilar Lymphadenopathy)
KLRK1_TSS7227	2.75039955347411e-08	0.37605147462087	5.09441760770664e-06	204	204	154	1.96793	3.33737799521531	0.000190159104519733	NA	0.0285920992389935	-0.000190159104519733	198	198	149	1.96266	3.32505233497537
ST8SIA1_TSS20281	4.18179921077014e-08	0.371431917408982	6.98633788408468e-06	187	79	0	0.070968	0.116426603923445	0.000309991002522708	NA	0.0386520976365021	-0.000309991002522708	182	76	0	0.070968	0.114933876453202
ABCD2_TSS16216	1.20979625898104e-08	0.384903030319406	2.64304292100977e-06	195	137	17	0.168501	0.325354091674641	7.23369096254018e-06	NA	0.0102722430385272	-7.23369096254018e-06	189	132	16	0.166133	0.31579791408867
NELL2_TSS16845,TSS21479,TSS24540,TSS5660	4.81899520423237e-10	0.417316793645992	1.81144612375564e-07	201	189	69	0.5677	1.14070876028708	1.36379698194611e-05	NA	0.0113954492392685	-1.36379698194611e-05	195	183	65	0.558738	1.1246289453202
SLC38A1_TSS10899,TSS19178,TSS5709	2.5051435892105e-07	0.350832908270692	2.85865961088435e-05	209	207	131	1.38788	2.13238356363636	0.000166390054054019	NA	0.0277907196634165	-0.000166390054054019	203	201	127	1.3791	2.09357263448276
WNT1_TSS298	0.000996951260811451	0.228234230686143	0.0176720327167833	122	42	1	0.0184103	0.0637476814832536	0.000191650322151176	NA	0.0286478004941883	-0.000191650322151176	119	40	1	0.0184103	0.0638175469458128
IL26_TSS30365	1.01920235454994e-05	0.302805868971498	0.000610113147181524	147	121	27	0.157509	0.537651686124402	0.000222062400858661	NA	0.0318884102716193	-0.000222062400858661	141	117	27	0.157509	0.545775771921182
IFNG_TSS15869	6.91202116493833e-08	0.365794376396152	1.00958955998279e-05	204	200	143	2.25826	4.67213829617225	0.000491924532453086	NA	0.0482119234111547	-0.000491924532453086	198	194	139	2.25253	4.72898948719212
BTBD11_TSS16782,TSS545	1.80065064615486e-06	0.326295331584369	0.000144964495878618	190	130	9	0.162221	0.287851940334928	2.02121335613172e-06	NA	0.00618514500620379	-2.02121335613172e-06	184	126	8	0.159388	0.282890877487685
CMKLR1_TSS22814,TSS7058	0.000154924235542287	0.261214144133814	0.0047255589316186	209	208	172	2.14495	3.48928969138756	9.93030972893724e-07	NA	0.00587255904482368	-9.93030972893724e-07	203	202	166	2.10195	3.39936411576355
KLF12_TSS9262	0.00016687282370875	0.259979334015343	0.00500638057138423	206	201	30	0.505696	0.619634114354067	8.2285830479315e-05	NA	0.0187799786686843	-8.2285830479315e-05	200	195	28	0.501464	0.608559339408867
SLAIN1_TSS11653,TSS1730,TSS20020	6.337337555011e-05	0.27561905230877	0.00239274276578488	195	181	18	0.342433	0.458287076555024	0.000388279226538479	NA	0.0433397611770746	-0.000388279226538479	189	175	18	0.3239	0.455370275862069
DOCK9_TSS26804,TSS28758	3.2680667972385e-09	0.398488632728391	8.79316372675931e-07	208	197	53	0.477498	0.718512407177033	5.53467335452971e-06	NA	0.00915810142533568	-5.53467335452971e-06	202	191	50	0.462307	0.706380591625616
GPR18_TSS2231	1.20573757266509e-06	0.331459017807278	0.000104474095236924	181	164	40	0.369648	0.65894289138756	6.8232129046619e-05	NA	0.0175587719939974	-6.8232129046619e-05	175	158	37	0.367481	0.643802356157635
